INDICATOR_ID,COUNTRY_ID,YEAR,VALUE,MAGNITUDE,QUALIFIER
700146,ARM,2014,10629,,
700146,ARM,2015,5344.85588,,
700146,AUT,2014,55300,,
700146,AUT,2015,58600,,
700146,BEL,2014,44050,,
700146,BEL,2015,51110,,
700146,BGR,2014,29400,,
700146,BGR,2015,29900,,
700146,BIH,2014,8946,,
700146,BIH,2015,7330.99277,LOWREL,
700146,BMU,2010,277,,
700146,BOL,2011,51725,,
700146,BOL,2015,74974,,
700146,BRA,2013,791082,,
700146,BRN,2014,1367.28181,,
700146,CAN,2015,218200,,
700146,CHE,2014,55461,,
700146,CHL,2013,33173,,
700146,CPV,2015,1242,,
700146,CRI,2015,10036,,
700146,CYM,2016,302,,
700146,CZE,2014,49655,,
700146,CZE,2015,71671,,
700146,DEU,2015,508800,,
700146,DNK,2013,14374,,
700146,DNK,2014,15344.10000,,
700146,DOM,2013,3292,,
700146,ECU,2013,0,LOWREL,
700146,ECU,2015,59990.90600,,
700146,ESP,2014,290606,,
700146,ESP,2015,299200,,
700146,EST,2014,12864,,
700146,EST,2015,14579,,
700146,FIN,2014,56400,,
700146,FIN,2015,69629,,
700146,FRA,2014,322570,,
700146,FRA,2015,307551,,
700146,GHA,2014,83479,,
700146,GRC,2015,37100,,
700146,HND,2010,9606,,
700146,HND,2015,13501.86445,,
700146,HRV,2015,38183,,
700146,HUN,2014,49203,,
700146,HUN,2015,52851,,
700146,ISL,2015,5200,,
700146,ISR,2014,60898,,
700146,ITA,2014,242187,,
700146,ITA,2015,254938,,
700146,KOR,2014,407000,,
700146,KOR,2015,419000,,
700146,LKA,2015,43229.23238,,
700146,LTU,2014,19482,,
700146,LTU,2015,17722,,
700146,LUX,2014,3336,,
700146,LUX,2015,2036,,
700146,LVA,2014,14200,,
700146,LVA,2015,16000,,
700146,MAC,2014,4000,,
700146,MAC,2015,4000,,
700146,MDA,2014,5605,,
700146,MDA,2015,9499,,
700146,MDV,2014,2321,,
700146,MEX,2014,759557,,
700146,MEX,2015,750974,,
700146,MKD,2014,5405.52000,,
700146,MKD,2015,5011,,
700146,MLI,2014,84419.66282,,
700146,MLI,2015,79584,,
700146,MLT,2014,3239,,
700146,MLT,2015,3190,,
700146,MNG,2014,7796,,
700146,MOZ,2014,7646,,
700146,MYS,2014,64400,,
700146,MYS,2015,69400,,
700146,NIC,2009,7266,,
700146,NLD,2014,109000,,
700146,NLD,2015,110000,,
700146,PAK,2014,231655,,
700146,PAK,2015,283323,,
700146,PAN,2013,11078,,
700146,PAN,2016,9197,,
700146,PER,2013,53077,,
700146,PHL,2014,186246,,
700146,PHL,2015,185003,,
700146,PRI,2014,15418,,
700146,PRI,2015,2932.20000,,
700146,PRT,2014,33253.14788,,
700146,PRT,2015,35994.52625,,
700146,PRY,2010,11611,,
700146,PSE,2014,4600,,
700146,PSE,2015,5000,,
700146,ROU,2014,31251,,
700146,ROU,2015,35434,,
700146,RUS,2014,1119474,,
700146,SLV,2013,1706,,
700146,SRB,2014,37142.97261,,
700146,SRB,2015,32097.15360,,
700146,SVK,2014,21200,,
700146,SVK,2015,21800,,
700146,SWE,2014,81600,,
700146,SWE,2015,80463.50000,,
700146,SXM,2013,22.43760,,
700146,SYC,2012,0,NA,
700146,TGO,2015,7474,,
700146,THA,2014,324399,,
700146,THA,2015,339741.93040,,
700146,TUR,2014,248921,,
700146,TUR,2015,279844.43400,,
700146,UGA,2012,23012,,
700146,URY,2013,1859,,
700146,VNM,2014,206800,,
700146,VNM,2015,203000,,
700147,ARM,2014,36958,,
700147,ARM,2015,35303.25728,,
700147,AUT,2014,86700,,
700147,AUT,2015,89900,,
700147,BEL,2014,109984,,
700147,BEL,2015,109657,,
700147,BGR,2014,96000,,
700147,BGR,2015,100500,,
700147,BIH,2014,32351,,
700147,BIH,2015,28519.31667,,
700147,BMU,2010,760,,
700147,BOL,2011,157184,,
700147,BOL,2015,248851,,
700147,BRA,2013,3383681,,
700147,BRN,2014,9054.35789,,
700147,CAN,2015,476700,,
700147,CHE,2014,188337,,
700147,CHL,2013,281088,,
700147,CPV,2015,4387,,
700147,CRI,2015,64346,,
700147,CYM,2016,653,,
700147,CZE,2014,121696,,
700147,CZE,2015,126728,,
700147,DEU,2015,1159300,,
700147,DNK,2013,41700,,
700147,DNK,2014,41752.82000,,
700147,DOM,2013,81320,,
700147,ECU,2013,50621,,
700147,ECU,2015,269259.50000,,
700147,ESP,2014,258577,,
700147,ESP,2015,277900,,
700147,EST,2014,14929,,
700147,EST,2015,15927,,
700147,FIN,2014,92000,,
700147,FIN,2015,83221,,
700147,FRA,2014,480733,,
700147,FRA,2015,474566,,
700147,GHA,2014,457751,,
700147,GRC,2015,87100,,
700147,HND,2010,99126,,
700147,HND,2015,125962.06460,,
700147,HRV,2015,27741,,
700147,HUN,2014,90126,,
700147,HUN,2015,92827,,
700147,ISL,2015,3200,,
700147,ISR,2014,78747,,
700147,ITA,2014,660494,,
700147,ITA,2015,644172,,
700147,KOR,2014,1326000,,
700147,KOR,2015,1370000,,
700147,LKA,2015,454310.23004,,
700147,LTU,2014,31447,,
700147,LTU,2015,39197,,
700147,LUX,2014,9034,,
700147,LUX,2015,8225,,
700147,LVA,2014,34700,,
700147,LVA,2015,31500,,
700147,MAC,2014,3700,,
700147,MAC,2015,3400,,
700147,MDA,2014,39739,,
700147,MDA,2015,40838,,
700147,MDV,2014,10843,,
700147,MEX,2014,1431547,,
700147,MEX,2015,1552546,,
700147,MKD,2014,26281,,
700147,MKD,2015,25306,,
700147,MLI,2014,24503.77358,,
700147,MLI,2015,200159,,
700147,MLT,2014,7482,,
700147,MLT,2015,4845,,
700147,MNG,2014,27206,,
700147,MNG,2015,52788,,
700147,MOZ,2014,144985,,
700147,MYS,2014,272600,,
700147,MYS,2015,337400,,
700147,NIC,2009,57786,,
700147,NLD,2014,224000,,
700147,NLD,2015,221000,,
700147,PAK,2014,3141583,,
700147,PAK,2015,3499109,,
700147,PAN,2013,70367,,
700147,PAN,2016,70890,,
700147,PER,2013,587692,,
700147,PHL,2014,651514,,
700147,PHL,2015,628298,,
700147,PRI,2014,10976,,
700147,PRI,2015,27108.55000,,
700147,PRT,2014,153042.34678,,
700147,PRT,2015,150030.17702,,
700147,PRY,2010,125380,,
700147,PSE,2014,3400,,
700147,PSE,2015,2500,,
700147,ROU,2014,289476,,
700147,ROU,2015,272168,,
700147,RUS,2014,2774761,,
700147,SLV,2013,13856,,
700147,SRB,2014,71517.14028,,
700147,SRB,2015,74784.57348,,
700147,SVK,2014,70500,,
700147,SVK,2015,66300,,
700147,SWE,2014,102995,,
700147,SWE,2015,104595.50000,,
700147,SXM,2013,448,,
