INDICATOR_ID,COUNTRY_ID,YEAR,TYPE,METADATA
700146,ARG,2012,Over Coverage:FCS domains,"Includes Intangible cultural heritage"
700146,ARG,2012,Qualifier:Data quality,"Data suppressed due to confidentiality or reliability issues"
700146,ARM,2014,Over Coverage:Methodology,"Cultural employment is overestimated"
700146,BIH,2014,Over Coverage:Methodology,"Cultural employment is overestimated"
700146,BIH,2015,Over Coverage:Methodology,"Cultural employment is overestimated"
700146,BOL,2011,Over Coverage:FCS domains,"Includes Intangible cultural heritage"
700146,BOL,2011,Over Coverage:Methodology,"Cultural employment is overestimated"
700146,BOL,2015,Over Coverage:Classification,"Includes other occupation(s)"
700146,BOL,2015,Over Coverage:Methodology,"Cultural employment is overestimated"
700146,BRA,2013,Over Coverage:FCS domains,"Includes Intangible cultural heritage"
700146,CHL,2013,Over Coverage:FCS domains,"Includes Intangible cultural heritage"
700146,DOM,2013,Over Coverage:FCS domains,"Includes Intangible cultural heritage"
700146,ECU,2013,Over Coverage:FCS domains,"Includes Intangible cultural heritage"
700146,FIN,2014,Over Coverage:Methodology,"Cultural employment is overestimated"
700146,FIN,2015,Over Coverage:Methodology,"Cultural employment is overestimated"
700146,GEO,2014,Qualifier:Data quality,"Data suppressed due to confidentiality or reliability issues"
700146,GHA,2014,Over Coverage:Methodology,"Cultural employment is overestimated"
700146,HND,2010,Over Coverage:FCS domains,"Includes Intangible cultural heritage"
700146,HND,2010,Over Coverage:Methodology,"Cultural employment is overestimated"
700146,KOR,2014,Over Coverage:Methodology,"Cultural employment is overestimated"
700146,MAC,2015,Over Coverage:Methodology,"Cultural employment is overestimated"
700146,MDV,2014,Over Coverage:Classification,"Includes other industry(ies)"
700146,MDV,2014,Over Coverage:Classification,"Includes other occupation(s)"
700146,MDV,2014,Over Coverage:Methodology,"Cultural employment is overestimated"
700146,MEX,2014,Over Coverage:Methodology,"Cultural employment is overestimated"
700146,MEX,2015,Over Coverage:Methodology,"Cultural employment is overestimated"
700146,MLI,2014,Over Coverage:Methodology,"Cultural employment is overestimated"
700146,MLT,2014,Over Coverage:Methodology,"Cultural employment is overestimated"
700146,MLT,2015,Over Coverage:Methodology,"Cultural employment is overestimated"
700146,MNG,2014,Over Coverage:FCS domains,"Includes Intangible cultural heritage"
700146,MNG,2015,Qualifier:Data quality,"Data suppressed due to confidentiality or reliability issues"
700146,NIC,2009,Over Coverage:FCS domains,"Includes Intangible cultural heritage"
700146,PAK,2014,Over Coverage:Methodology,"Cultural employment is overestimated"
700146,PAK,2015,Over Coverage:FCS domains,"Includes Intangible cultural heritage"
700146,PAK,2015,Over Coverage:Methodology,"Cultural employment is overestimated"
700146,PAN,2013,Over Coverage:FCS domains,"Includes Intangible cultural heritage"
700146,PAN,2013,Over Coverage:Methodology,"Cultural employment is overestimated"
700146,PER,2013,Over Coverage:FCS domains,"Includes Intangible cultural heritage"
700146,PHL,2014,Over Coverage:Methodology,"Cultural employment is overestimated"
700146,PRT,2014,Over Coverage:Methodology,"Cultural employment is overestimated"
700146,PRY,2010,Over Coverage:FCS domains,"Includes Intangible cultural heritage"
700146,PSE,2015,Over Coverage:Methodology,"Cultural employment is overestimated"
